id;name;type;level;create_time;update_time;del_flag
1;withdrawal Avon rich;97009;64737;2021-01-26T17:32:17;2021-01-27T05:11:39;29717
2;Web Chair;99218;2316;2021-01-26T17:37:05;2021-01-27T08:05:44;65370
3;bifurcated virtual;11500;99818;2021-01-26T21:42:12;2021-01-26T11:25:14;46567
4;circuit transmit Designer;69872;64439;2021-01-27T00:48:27;2021-01-27T07:35:01;77240
5;Home Pizza synthesizing;69521;79811;2021-01-26T12:50:13;2021-01-27T00:41:58;46770
6;Bacon Health calculating;6225;24196;2021-01-26T15:08:42;2021-01-27T06:59:00;94192
7;Handmade Orchestrator;37910;4490;2021-01-27T03:24:57;2021-01-26T15:33:47;45984
8;programming;98202;88259;2021-01-26T22:21:33;2021-01-26T19:41:54;98600
9;multi-tasking;26223;77196;2021-01-26T14:53:18;2021-01-26T23:52:40;94074
10;Dynamic Technician;60239;88974;2021-01-26T14:52:37;2021-01-26T22:18:30;85204
