id;task_id;task_type;task_name;step_record_num;execute_time;finish_time;status;create_time;update_time
1;96992;902;array XSS payment;67210;2021-01-26T10:19:28;2021-01-26T13:53:22;83436;2021-01-26T12:13:07;2021-01-26T11:19:14
2;20880;41196;technologies;80069;2021-01-26T14:18:52;2021-01-27T05:51:20;95709;2021-01-26T22:05:22;2021-01-26T23:31:17
3;80763;22376;Outdoors Metal;33128;2021-01-26T20:08:31;2021-01-27T06:27:10;99983;2021-01-26T15:33:16;2021-01-26T09:18:39
4;2842;37689;Agent input;95396;2021-01-26T12:28:13;2021-01-26T18:53:37;76385;2021-01-26T19:28:03;2021-01-26T13:07:52
5;5438;92765;line Dollar index;7104;2021-01-27T07:29:41;2021-01-27T04:47:13;39720;2021-01-27T02:09:31;2021-01-26T22:05:17
6;90103;86361;Avon;94050;2021-01-26T09:01:42;2021-01-26T15:16:14;4237;2021-01-26T23:53:43;2021-01-26T13:20:43
7;5180;52092;Configuration Credit Intelligent;10898;2021-01-26T21:03:00;2021-01-26T16:49:54;89278;2021-01-26T21:52:11;2021-01-27T01:56:46
8;78829;17584;function Fantastic Loan;1011;2021-01-26T12:44:10;2021-01-26T11:49:46;66795;2021-01-26T18:32:07;2021-01-26T13:34:21
9;97632;26741;云南省 portal;68054;2021-01-26T12:27:30;2021-01-26T23:54:49;57889;2021-01-27T05:05:40;2021-01-27T01:08:48
10;30381;41491;multimedia Shilling;37777;2021-01-27T08:19:20;2021-01-27T07:20:43;41838;2021-01-27T08:22:01;2021-01-27T02:01:07
