id;task_id;task_step_id;task_step_execute_order;status;execute_time;finish_time;create_time;update_time
1;76540;30573;12694;2687;2021-01-27T01:08:21;2021-01-26T11:28:10;2021-01-26T18:32:06;2021-01-27T07:44:12
2;99074;96086;10976;64940;2021-01-26T13:47:45;2021-01-26T22:53:06;2021-01-26T12:08:59;2021-01-26T13:09:32
3;19047;85661;90980;67738;2021-01-26T21:29:19;2021-01-27T06:53:19;2021-01-26T10:51:05;2021-01-26T12:27:58
4;86073;55980;68594;57180;2021-01-27T07:47:53;2021-01-26T11:11:16;2021-01-27T07:35:42;2021-01-26T23:04:10
5;56561;24782;15045;8699;2021-01-27T06:17:23;2021-01-26T23:37:13;2021-01-26T19:15:37;2021-01-27T03:07:51
6;6669;47188;46477;1858;2021-01-26T09:37:25;2021-01-27T04:37:27;2021-01-26T12:49:03;2021-01-26T20:40:50
7;13419;27737;11994;56191;2021-01-26T18:17:24;2021-01-27T00:20:58;2021-01-26T21:42:36;2021-01-27T03:31:26
8;44236;18594;66966;17219;2021-01-27T06:25:56;2021-01-27T00:54:12;2021-01-27T04:10:44;2021-01-26T13:29:14
9;53589;80514;55339;25951;2021-01-27T07:26:24;2021-01-26T12:06:47;2021-01-26T22:36:22;2021-01-26T21:40:07
10;87997;77925;9546;77051;2021-01-26T19:32:23;2021-01-27T00:51:16;2021-01-27T02:30:18;2021-01-26T23:32:54
